,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXONOMY,,,RANGE,,AGE and GROWTH,,,,,,,,,,,,,,,,,,,,,,REPRODUCTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DISPERSAL & RECRUITMENT,,,,HABITAT ASSOCIATION & TROPHIC INTERACTIONS,,,,,,,,,,,,,,,,,,,,,GENETICS,,,,,,,,,RECRUITMENT INTO FISHERY,,,,,,MORTALITY,,,,,,,BEHAVIOR,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13 45-245 mm TL (juv & adult),"bay (Padilla Bay, WA) 13","generalist: amphipod, isopods, crabs, polychaetes, moluscs, fishe, algae, wood, rock, shrimp 13",,,,14 45-245 mm TL (juv & adult),"bay (Padilla Bay, WA) 14","generalist: amphipod, isopods, crabs, polychaetes, moluscs, fishe, algae, wood, rock, shrimp 14",,,,,,,,,,,,,,,,,,,,,,,,,,,"Parasite: trematode (Derogenes varicus, Genolinea manteri) in stomach 9",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13 45-79 mm TL (juv),"bay (Padilla Bay, WA) 13","carnivore: amphipods, isopods, polychaetes, molluscs, other 13",,,,14 >120 mm TL (adult),"bay (Padilla Bay, WA) 14","generalist: crabs, isopods, fishes, algae, wood, rock 14",,,,,,,,,,,,,,,,,,,,,,,,,,,Parasites: 21 Families; ~43 Species; See Refs 11,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13 80-119 mm TL (juv),"bay (Padilla Bay, WA) 13","carnivore: amphipods, isopods, crabs, polychaetes, other 13",,,,15 NG (juvenile or adult),"estuary (west of Vancouver Island, B.C., Canada) 15","amphipods, insects (Chironamid larvae & pupae), Oligochaetes,isopods (Gnorimosphaeroma bregonensis), eggs, calanoid copepods 15",,,,,,,,,,,,,,,,,,,,,,,,,,,"Parasites: Digenea (5 sp), Nematoda (2 sp), Acanthocephala (2 sp) 12",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14 NG (juvenile or adult),"estuary (west of Vancouver Island, B.C., Canada) 14","amphipods, insects (Chironamid larvae & pupae), Oligochaetes, isopods (Gnorimosphaeroma bregonensis), eggs, calanoid copepods 14",,,,16 20-220 mm TL (juv & adult),"bay, cove, strait (Strait of Juan de Fuca) 16","generalist: decapods (Natantia, Reptantia), mysids, amphipods, fish (incl Pleuronectidae, Cottidae), polychaetes, isopods 16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15 20-220 mm TL (juv & adult),"bay, cove, strait (Strait of Juan de Fuca) 15","generalist: decapods (Natantia, Reptantia), mysids, amphipods, fish (incl Pleuronectidae, Cottidae), polychaetes, isopods 15",,,,18  33-290 mm TL (juv & adult),"bay (Everett Bay, WA) 18","carnivore: amphipods (Corophium, gammarids), fish (juv staghorn sculpin, sandlance, starry flounder, threespine stickleback), ghost shrimp (Callianassa) 18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16 <100 mm TL,"estuaries (Vancouver Island, B.C. Canada) 16","generalist: amphipods (Eogammarus confervicolus, Corophium sp), polychaetes (Nereis sp), isopod (Gnorimosphaeroma oregonensis), chum salmon fry (Oncorhynchus keta) 16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18  33-290 mm TL (juv & adult),"bay (Everett Bay, WA) 18","carnivore: amphipods (Corophium, gammarids), fish (juv staghorn sculpin, sandlance, starry flounder, threespine stickleback), ghost shrimp (Callianassa) 18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
